Track,Position,No,Driver,Team,Starting Grid,Laps,Time/Retired,Points,+1 Pt,Fastest Lap
Austria,9,10,Pierre Gasly,AlphaTauri Honda,6.0,71,+61.844,2.0,No,1:08.146
Great Britain,11,10,Pierre Gasly,AlphaTauri Honda,11.0,52,+85.327,0.0,No,1:30.266
Great Britain,16,11,Sergio Perez,Red Bull Racing Honda,20.0,51,+1 lap,0.0,No,1:28.617
Great Britain,NC,33,Max Verstappen,Red Bull Racing Honda,1.0,0,DNF,0.0,No,
Hungary,5,10,Pierre Gasly,AlphaTauri Honda,5.0,70,+63.614,11.0,Yes,1:18.394
Hungary,9,33,Max Verstappen,Red Bull Racing Honda,3.0,70,+80.244,2.0,No,1:20.945
Hungary,NC,11,Sergio Perez,Red Bull Racing Honda,4.0,0,DNF,0.0,No,
Belgium,1,33,Max Verstappen,Red Bull Racing Honda,1.0,1,0:03:27.071,12.5,No,
Belgium,6,10,Pierre Gasly,AlphaTauri Honda,6.0,1,+10.177,4.0,No,
Belgium,19,11,Sergio Perez,Red Bull Racing Honda,7.0,1,+38.205,0.0,No,
Netherlands,1,33,Max Verstappen,Red Bull Racing Honda,1.0,72,1:30:05.395,25.0,No,1:13.275
Netherlands,4,10,Pierre Gasly,AlphaTauri Honda,4.0,71,+1 lap,12.0,No,1:14.818
Netherlands,8,11,Sergio Perez,Red Bull Racing Honda,20.0,71,+1 lap,4.0,No,1:13.461
Italy,5,11,Sergio Perez,Red Bull Racing Honda,8.0,53,+8.723,10.0,No,1:25.156
Italy,NC,33,Max Verstappen,Red Bull Racing Honda,1.0,25,DNF,0.0,No,1:25.173
Italy,NC,10,Pierre Gasly,AlphaTauri Honda,20.0,3,DNF,0.0,No,1:29.005
Russia,2,33,Max Verstappen,Red Bull Racing Honda,20.0,53,+53.271,18.0,No,1:38.396
Russia,9,11,Sergio Perez,Red Bull Racing Honda,8.0,53,+90.076,2.0,No,1:39.215
Russia,13,10,Pierre Gasly,AlphaTauri Honda,11.0,52,+1 lap,0.0,No,1:38.279
Turkey,2,33,Max Verstappen,Red Bull Racing Honda,2.0,58,+14.584,18.0,No,1:32.759
Turkey,3,11,Sergio Perez,Red Bull Racing Honda,6.0,58,+33.471,15.0,No,1:32.459
Turkey,6,10,Pierre Gasly,AlphaTauri Honda,4.0,58,+44.292,8.0,No,1:32.814
United States,1,33,Max Verstappen,Red Bull Racing Honda,1.0,56,1:34:36.552,25.0,No,1:39.096
United States,3,11,Sergio Perez,Red Bull Racing Honda,3.0,56,+42.223,15.0,No,1:39.566
United States,NC,10,Pierre Gasly,AlphaTauri Honda,8.0,14,DNF,0.0,No,1:42.015
Mexico,1,33,Max Verstappen,Red Bull Racing Honda,3.0,71,1:38:39.086,25.0,No,1:18.999
Mexico,3,11,Sergio Perez,Red Bull Racing Honda,4.0,71,+17.752,15.0,No,1:19.468
Mexico,4,10,Pierre Gasly,AlphaTauri Honda,5.0,71,+63.845,12.0,No,1:20.510
Brazil,2,33,Max Verstappen,Red Bull Racing Honda,2.0,71,+10.496,18.0,No,1:12.486
Brazil,4,11,Sergio Perez,Red Bull Racing Honda,4.0,71,+39.940,13.0,Yes,1:11.010
Brazil,7,10,Pierre Gasly,AlphaTauri Honda,7.0,70,+1 lap,6.0,No,1:13.227
Qatar,2,33,Max Verstappen,Red Bull Racing Honda,7.0,57,+25.743,19.0,Yes,1:23.196
Qatar,4,11,Sergio Perez,Red Bull Racing Honda,11.0,57,+62.306,12.0,No,1:25.613
Qatar,11,10,Pierre Gasly,AlphaTauri Honda,2.0,56,+1 lap,0.0,No,1:27.019
Saudi Arabia,2,33,Max Verstappen,Red Bull Racing Honda,3.0,50,+21.825,18.0,No,1:31.488
Saudi Arabia,6,10,Pierre Gasly,AlphaTauri Honda,6.0,50,+41.613,8.0,No,1:32.297
Saudi Arabia,NC,11,Sergio Perez,Red Bull Racing Honda,5.0,14,DNF,0.0,No,1:34.138
Abu Dhabi,1,33,Max Verstappen,Red Bull Racing Honda,1.0,58,1:30:17.345,26.0,Yes,1:26.103
Abu Dhabi,5,10,Pierre Gasly,AlphaTauri Honda,12.0,58,+6.531,10.0,No,1:27.342
Abu Dhabi,15,11,Sergio Perez,Red Bull Racing Honda,4.0,55,DNF,0.0,No,1:26.419
